,User Rating,Reviews,Price of Book in Dollars,Year,Genre
0,4.7,17350,8,2016,0
1,4.6,2052,22,2011,1
2,4.7,18979,15,2018,0
3,4.7,21424,6,2017,1
4,4.8,7665,12,2019,0
5,4.4,12643,11,2011,1
6,4.7,19735,30,2014,1
7,4.7,19699,15,2017,1
8,4.7,5983,3,2018,0
9,4.6,23848,8,2016,1
10,4.6,23848,8,2017,1
11,4.6,460,2,2010,0
12,4.6,4149,32,2011,0
13,4.5,5153,5,2018,1
14,4.6,5013,17,2009,0
15,4.5,2313,4,2016,0
16,4.6,2925,6,2015,0
17,4.4,2951,6,2015,0
18,4.5,2426,8,2015,0
19,4.8,9198,13,2016,0
20,4.6,36348,14,2014,1
21,4.6,36348,14,2015,1
22,3.9,6310,13,2013,1
23,4.6,15921,9,2015,0
24,4.3,12159,13,2013,1
25,4.6,798,5,2009,0
26,4.7,9374,9,2017,0
27,4.2,491,14,2010,0
28,4.6,5360,5,2015,0
29,4.6,1909,11,2015,0
30,4.8,1296,24,2012,0
31,4.7,615,21,2010,0
32,4.8,61133,11,2018,0
33,4.8,61133,11,2019,0
34,4.8,11113,15,2015,0
35,4.7,10070,13,2015,0
36,4.7,10070,13,2016,0
37,4.7,3729,18,2016,0
38,4.6,9769,13,2009,1
39,4.5,471,8,2010,0
40,4.9,14344,5,2017,1
41,4.9,14344,5,2019,1
42,4.8,4505,0,2011,1
43,4.6,10369,4,2016,0
44,4.8,16244,18,2019,0
45,4.5,2884,28,2014,0
46,4.7,22614,11,2010,1
47,4.7,22614,11,2011,1
48,4.7,22614,11,2012,1
49,4.7,4761,16,2016,0
50,4.7,1542,14,2009,0
51,4.7,1542,14,2010,0
52,4.7,1542,14,2011,0
53,4.3,6143,8,2018,1
54,4.8,4022,4,2015,0
55,4.8,3871,5,2015,0
56,4.6,4866,11,2010,1
57,4.6,4866,11,2011,1
58,4.8,1329,10,2013,0
59,4.4,4642,13,2013,0
60,4.6,1541,4,2009,1
61,4.3,1924,8,2010,1
62,4.2,2094,4,2011,1
63,4.8,10922,5,2015,1
64,4.8,10922,5,2016,1
65,4.8,10922,5,2017,1
66,4.8,10922,5,2018,1
67,4.6,2137,17,2010,0
68,4.6,1651,15,2010,0
69,4.5,6679,105,2013,0
70,4.5,6679,105,2014,0
71,4.8,6812,0,2013,1
72,4.8,3837,15,2009,1
73,4.8,6540,22,2014,1
74,4.6,7955,5,2019,0
75,4.6,27098,15,2013,1
76,4.6,27098,15,2014,1
77,4.5,17684,6,2014,1
78,4.6,37,6,2009,0
79,4.7,15845,13,2013,1
80,4.8,3181,12,2009,1
81,4.9,5062,6,2018,1
82,4.9,4786,8,2017,1
83,4.9,7235,4,2018,1
84,4.9,7235,4,2019,1
85,4.9,12619,8,2019,1
86,4.9,9089,8,2019,1
87,4.9,5470,6,2018,1
88,4.8,5118,20,2016,1
89,4.6,2134,5,2015,0
90,4.5,2525,16,2010,0
91,4.5,720,1,2009,0
92,4.3,956,14,2009,0
93,4.5,6346,9,2011,0
94,4.5,6346,9,2012,0
95,4.7,5505,7,2009,1
96,4.7,5505,18,2009,1
97,4.7,28729,15,2018,0
98,4.7,28729,15,2019,0
99,4.7,5413,9,2015,0
100,4.6,10721,8,2016,1
101,4.6,10721,8,2018,1
102,4.7,4370,15,2016,1
103,4.4,6042,2,2018,0
104,4.4,23631,7,2012,1
105,4.5,20262,11,2012,1
106,3.8,47265,14,2012,1
107,3.8,47265,14,2013,1
108,4.5,13964,32,2012,1
109,4.2,13677,6,2018,0
110,4.7,17323,4,2014,0
111,4.7,17323,4,2015,0
112,4.7,17323,4,2016,0
113,4.7,17323,4,2017,0
114,4.7,17323,4,2018,0
115,4.4,1555,9,2010,0
116,4.7,3642,0,2014,1
117,4.4,1215,9,2010,0
118,4.6,5594,5,2011,1
119,4.6,5594,5,2012,1
120,4.6,5594,5,2013,1
121,4.5,408,20,2010,0
122,4.6,4799,16,2013,0
123,4.8,14038,4,2015,1
124,4.8,14038,4,2016,1
125,4.8,14038,4,2017,1
126,4.8,14038,4,2018,1
127,4.8,14038,4,2019,1
128,4.6,7660,12,2019,0
129,4.6,22288,12,2018,0
130,4.6,22288,12,2019,0
131,4.6,1365,11,2009,0
132,3.6,14982,19,2015,1
133,4.8,9568,9,2011,1
134,4.6,1636,6,2009,0
135,4.0,57271,10,2012,1
136,4.0,57271,10,2013,1
137,4.0,57271,9,2014,1
138,4.6,10141,6,2019,0
139,4.5,3457,14,2009,0
140,4.5,3457,14,2010,0
141,4.5,3457,14,2011,0
142,4.5,3457,14,2012,0
143,4.8,8837,5,2017,1
144,4.8,8837,5,2018,1
145,4.8,8837,5,2019,1
146,4.9,7038,7,2012,1
147,4.9,7038,7,2013,1
148,4.6,5972,10,2014,0
149,4.4,25624,14,2015,1
150,4.8,5476,7,2019,0
151,4.9,5867,54,2016,0
152,4.8,4148,11,2013,0
153,4.9,19622,30,2016,1
154,4.0,23973,12,2016,1
155,4.9,7758,18,2019,1
156,4.9,3146,30,2017,1
157,4.9,10052,22,2016,1
158,4.7,3564,9,2015,0
159,4.8,13471,52,2016,1
160,4.8,1930,4,2009,0
161,4.7,15779,10,2011,0
162,4.7,15779,10,2012,0
163,4.4,15526,14,2016,0
164,4.4,15526,14,2017,0
165,4.8,3776,22,2018,0
166,4.7,25001,11,2014,0
167,4.7,25001,11,2015,0
168,4.7,25001,11,2016,0
169,4.7,25001,11,2017,0
170,4.7,25001,11,2018,0
171,4.3,5272,16,2019,0
172,4.8,3490,15,2013,0
173,4.8,3490,15,2014,0
174,4.9,2812,17,2015,0
175,4.7,4896,17,2013,0
176,4.8,9737,7,2019,0
177,4.6,1320,7,2009,1
178,4.8,16643,4,2017,1
179,4.8,16643,4,2019,1
180,4.3,7153,9,2014,1
181,4.4,4571,21,2011,0
182,4.1,29651,14,2013,1
183,4.6,5299,20,2011,1
184,4.4,7396,13,2019,0
185,4.4,7396,13,2018,0
186,4.8,7062,12,2019,0
187,4.9,19576,8,2011,0
188,4.9,19576,8,2012,0
189,4.9,19576,8,2013,0
190,4.9,19576,8,2014,0
191,4.9,19576,8,2015,0
192,4.9,19576,8,2016,0
193,4.6,978,0,2014,1
194,4.5,4748,12,2013,1
195,4.6,8393,17,2017,0
196,4.5,11391,12,2013,0
197,4.6,8634,25,2012,0
198,4.7,9342,10,2011,0
199,4.7,9342,10,2012,0
200,4.6,10927,6,2014,0
201,4.6,5235,5,2015,0
202,4.8,8916,6,2016,0
203,4.8,2507,8,2018,0
204,4.5,3673,4,2013,0
205,4.5,3673,4,2014,0
206,4.5,3673,4,2015,0
207,4.9,11881,13,2018,1
208,4.6,6990,4,2013,0
209,4.6,6990,4,2014,0
210,4.6,6990,4,2015,0
211,4.6,6990,4,2016,0
212,4.6,6990,4,2017,0
213,4.5,6132,13,2013,0
214,4.5,3014,21,2017,0
215,4.4,7550,6,2018,0
216,4.8,3828,15,2009,0
217,4.5,2752,18,2010,0
218,4.1,1467,10,2010,1
219,4.9,1884,0,2014,1
220,4.5,25706,12,2018,1
221,4.5,8491,7,2014,1
222,4.2,1649,13,2011,0
223,4.8,18613,5,2014,1
224,4.8,18613,5,2015,1
225,4.8,9867,16,2018,0
226,4.5,1386,20,2014,0
227,4.7,10199,11,2017,0
228,4.8,2926,27,2009,0
229,4.7,17739,8,2016,0
230,4.7,17739,8,2017,0
231,4.7,17739,8,2018,0
232,4.4,3113,6,2017,0
233,4.6,5542,10,2014,0
234,4.6,5542,10,2015,0
235,4.6,5542,10,2016,0
236,4.5,26741,8,2010,1
237,4.5,26741,8,2011,1
238,4.5,26741,8,2012,1
239,4.8,5347,16,2019,0
240,4.8,7866,11,2019,0
241,4.6,5680,10,2009,1
242,4.7,5178,9,2016,0
243,4.6,8093,14,2012,0
244,4.9,3192,22,2017,0
245,4.9,21834,8,2012,1
246,4.9,21834,8,2013,1
247,4.9,21834,8,2014,1
248,4.9,21834,8,2015,1
249,4.9,21834,8,2016,1
250,4.9,21834,8,2017,1
251,4.9,21834,8,2018,1
252,4.9,21834,8,2019,1
253,4.8,6169,7,2015,1
254,4.2,4519,12,2009,1
255,4.6,3163,13,2011,0
256,4.6,3163,13,2012,0
257,4.5,1831,9,2017,0
258,4.3,18904,13,2017,1
259,4.6,21930,11,2014,1
260,4.6,10426,20,2009,0
261,4.6,10426,20,2010,0
262,4.7,10820,5,2018,0
263,4.7,10820,5,2019,0
264,4.8,548,2,2010,1
265,4.8,16990,27,2017,1
266,4.8,16990,27,2018,1
267,4.8,16990,27,2019,1
268,4.7,3503,9,2016,1
269,4.3,13616,10,2012,0
270,4.3,13616,10,2013,0
271,4.5,8580,46,2009,0
272,4.5,8580,46,2010,0
273,4.5,8580,46,2011,0
274,4.5,8580,46,2012,0
275,4.5,8580,46,2013,0
276,4.5,8580,46,2014,0
277,4.5,8580,46,2015,0
278,4.5,8580,46,2016,0
279,4.5,8580,46,2017,0
280,4.5,8580,46,2018,0
281,4.8,4757,4,2017,1
282,4.6,10009,20,2012,0
283,4.6,10009,7,2013,0
284,4.7,1985,9,2010,0
285,4.7,1985,9,2011,0
286,4.6,22536,12,2017,1
287,4.6,22536,12,2018,1
288,4.9,7150,12,2013,1
289,4.9,3836,12,2014,1
290,4.8,7802,20,2018,0
291,4.8,7802,20,2019,0
292,4.6,3619,10,2010,1
293,4.8,23047,6,2018,0
294,4.8,23047,6,2019,0
295,4.7,9366,9,2015,0
296,4.7,1265,11,2010,0
297,4.8,3923,16,2018,0
298,4.1,2272,6,2013,0
299,4.7,973,25,2009,1
300,4.6,220,17,2013,0
301,4.6,7827,20,2011,0
302,4.6,7827,20,2012,0
303,4.9,9382,6,2019,1
304,4.0,5069,17,2009,0
305,4.0,5069,17,2010,0
306,4.0,5069,17,2011,0
307,4.0,5069,17,2012,0
308,4.0,5069,17,2013,0
309,4.0,5069,17,2014,0
310,4.0,5069,17,2015,0
311,4.0,5069,17,2016,0
312,4.0,5069,17,2017,0
313,4.5,1583,18,2009,0
314,4.6,1907,13,2010,0
315,4.5,23114,18,2013,1
316,4.4,637,20,2010,0
317,4.4,637,20,2011,0
318,4.3,2314,22,2011,0
319,4.3,4587,21,2011,0
320,4.7,3477,28,2010,0
321,4.7,3477,28,2011,0
322,4.7,3477,28,2012,0
323,4.7,3477,28,2013,0
324,4.7,3477,28,2014,0
325,4.8,25554,8,2015,0
326,4.8,25554,8,2016,0
327,4.8,25554,8,2017,0
328,4.8,25554,8,2018,0
329,4.8,25554,8,2019,0
330,4.8,1680,12,2009,0
331,4.6,9325,24,2009,0
332,4.6,9325,24,2011,0
333,4.6,9325,24,2012,0
334,4.6,9325,24,2013,0
335,4.7,4725,16,2015,0
336,4.7,4725,16,2016,0
